date,fulfilled
2025-06-03,False
2025-06-06,False
2025-06-04,False
2025-06-04,False
2025-06-18,False
2025-06-04,False
2025-05-30,True
2025-05-30,False
2025-06-05,True
2025-05-30,False
2025-06-05,False
2025-06-05,False
2025-06-04,True
2025-06-06,False
2025-06-05,False
2025-05-22,False
2025-05-27,False
2025-06-03,False
2025-05-21,False
2025-05-29,True
2025-05-30,False
2025-05-22,False
2025-05-20,False
2025-05-20,False
2025-05-20,False
2025-05-19,True
2025-05-29,False
2025-05-29,True
2025-05-30,True
2025-05-23,True
2025-05-30,True
2025-05-23,True
2025-05-08,False
2025-05-08,False
2025-05-23,True
2025-05-29,True
2025-05-23,True
2025-05-27,True
2025-05-16,True
2025-05-20,True
